Artist,Album,Track,DateTime,Date,Time,Acousticness,Danceability,Energy,Tempo,Valence,Loudness,Instrumentalness,Speechiness
Blue Brew Music,Animal Crossing: Wild World (Title Theme),Animal Crossing: Wild World (Title Theme),2-28-2023 7:58:00,2-28-2023,7:58:00,0.87,0.376,0.195,80.033,0.0994,-17.314,0.937,0.037
Men I Trust,Oncle Jazz,Oncle Jazz,2-28-2023 7:57:00,2-28-2023,7:57:00,0.535,0.712,0.308,139.995,0.246,-16.776,0.816,0.0519
Joe Hisaishi,Spirited Away Soundtrack,One Summer Day,2-28-2023 7:54:00,2-28-2023,7:54:00,0.953,0.41,0.196,78.823,0.0622,-15.956,0.892,0.0383
Joe Hisaishi,Spirited Away Soundtrack,The Return,2-28-2023 7:48:00,2-28-2023,7:48:00,0.946,0.363,0.333,122.314,0.165,-16.975,0.926,0.0566
Million Eyes,In the Wind,The Mercy of the Wind,2-28-2023 7:46:00,2-28-2023,7:46:00,0.985,0.467,0.0539,66.445,0.272,-21.715,0.52,0.042
Men I Trust,Oncle Jazz,Tailwhip Revisited,2-28-2023 7:16:00,2-28-2023,7:16:00,0.776,0.73,0.483,113.991,0.696,-16.282,0.932,0.093
Hara Noda,Lower East,Seven Falls,2-28-2023 7:12:00,2-28-2023,7:12:00,0.962,0.457,0.0624,84.937,0.132,-20.075,0.886,0.0394
Clairo,Sling,Joanie,2-28-2023 7:02:00,2-28-2023,7:02:00,0.957,0.416,0.074,121.24,0.0476,-20.01,0.899,0.0407
Yu-Peng Chen,Genshin Impact - City of Winds and Idylls (Original Game Soundtrack),Tender Strength,2-28-2023 7:01:00,2-28-2023,7:01:00,0.982,0.474,0.0596,72.65,0.135,-21.343,0.928,0.0357
Rihanna,Good Girl Gone Bad,Take a Bow,2-28-2023 6:57:00,2-28-2023,6:57:00,0.248,0.697,0.467,82.082,0.572,-7.536,0,0.0715
Sam Smith,In The Lonely Hour (Deluxe),Im Not the Only One,2-28-2023 6:53:00,2-28-2023,6:53:00,0.529,0.677,0.485,82.001,0.493,-5.795,2.04E-05,0.0361
Rex Orange County,Best Friend,Best Friend,2-28-2023 6:49:00,2-28-2023,6:49:00,0.395,0.576,0.714,144.981,0.321,-5.247,0,0.0595
Adele,25,When We Were Young,2-28-2023 6:31:00,2-28-2023,6:31:00,0.303,0.376,0.595,144.361,0.265,-5.936,0,0.0496
Rihanna,ANTI (Deluxe),Love on the Brain,2-28-2023 6:27:00,2-28-2023,6:27:00,0.0717,0.509,0.637,172.006,0.378,-4.83,1.08E-05,0.0471
H.E.R.,I Used To Know Her,Couldve Been (feat. Bryson Tiller),2-28-2023 6:23:00,2-28-2023,6:23:00,0.649,0.45,0.352,102.679,0.408,-11.733,3.80E-06,0.267
Madison Beer,Life Support,Selfish,2-28-2023 6:18:00,2-28-2023,6:18:00,0.627,0.375,0.461,75.217,0.233,-6.202,0,0.0279
Melanie Martinez,K-12,High School Sweethearts,2-28-2023 6:12:00,2-28-2023,6:12:00,0.453,0.648,0.639,94.033,0.44,-6.415,0,0.123
Billie Eilish,Happier Than Ever (Edit),Happier Than Ever - Edit,2-28-2023 6:10:00,2-28-2023,6:10:00,0.0468,0.334,0.599,161.74,0.127,-5.742,0.000392,0.0365
Billie Eilish,Ocean Eyes,ocean eyes,2-28-2023 6:07:00,2-28-2023,6:07:00,0.81,0.358,0.372,144.833,0.16,-7.664,0.0539,0.0464
Alec Benjamin,Narrated for You,Let Me Down Slowly,2-28-2023 6:04:00,2-28-2023,6:04:00,0.74,0.652,0.557,150.073,0.483,-5.714,0,0.0318
Olivia Rodrigo,SOUR,good 4 u,2-28-2023 6:00:00,2-28-2023,6:00:00,0.335,0.563,0.664,166.928,0.688,-5.044,0,0.154
Joji,In Tongues (Deluxe),Will He,2-28-2023 5:57:00,2-28-2023,5:57:00,0.836,0.618,0.217,116.014,0.0872,-15.372,0.000163,0.0515
Gsoul,Hate Everything,Hate Everything,2-28-2023 5:53:00,2-28-2023,5:53:00,0.858,0.474,0.229,118.827,0.289,-9.47,0,0.0329
Fiona Apple,When the Pawn...,Get Gone,2-28-2023 5:48:00,2-28-2023,5:48:00,0.212,0.692,0.4,130.228,0.328,-9.767,1.55E-05,0.0349
Melanie Martinez,Cry Baby (Deluxe Edition),Pity Party,2-28-2023 5:44:00,2-28-2023,5:44:00,0.058,0.716,0.73,136.05,0.339,-4.126,7.32E-06,0.0364
Sir Chloe,Party Favors,Michelle,2-28-2023 5:41:00,2-28-2023,5:41:00,0.0781,0.366,0.439,115.94,0.11,-5.238,1.92E-05,0.0298
Ruth B.,The Intro,Superficial Love,2-28-2023 5:37:00,2-28-2023,5:37:00,0.928,0.477,0.242,43.509,0.488,-9.162,0,0.0529
Lana Del Rey,Norman Fucking Rockwell!,Norman fucking Rockwell,2-28-2023 5:33:00,2-28-2023,5:33:00,0.968,0.215,0.203,78.287,0.143,-12.65,0.0585,0.0346
Reneé Rapp,EVERYTHING TO EVERYONE,In the Kitchen,2-28-2023 5:30:00,2-28-2023,5:30:00,0.833,0.364,0.294,79.477,0.125,-6.578,0,0.0504
SZA,SOS,I Hate U,2-28-2023 5:26:00,2-28-2023,5:26:00,0.514,0.533,0.417,106.534,0.376,-8.665,0,0.148
Beyoncé,4,Best Thing I Never Had,2-28-2023 5:22:00,2-28-2023,5:22:00,0.143,0.546,0.649,99.05,0.298,-4.056,1.55E-05,0.0324
blackbear,digital druglord,do re mi,2-28-2023 5:18:00,2-28-2023,5:18:00,0.00522,0.745,0.593,111.001,0.17,-6.35,5.06E-06,0.0524
Taylor Swift,Red (Taylors Version),All Too Well (10 Minute Version) (Taylors Version) (From the Vault),2-28-2023 5:08:00,2-28-2023,5:08:00,0.274,0.631,0.518,93.023,0.205,-8.771,0,0.0303
Billie Eilish,Happier Than Ever,Happier Than Ever,2-28-2023 5:02:00,2-28-2023,5:02:00,0.767,0.332,0.225,81.055,0.297,-8.697,0.00349,0.0348
Rihanna,Loud (Japan Version),California King Bed,2-28-2023 4:58:00,2-28-2023,4:58:00,0.25,0.452,0.571,169.899,0.327,-3.992,0,0.0359
Adele,25,All I Ask,2-28-2023 4:53:00,2-28-2023,4:53:00,0.889,0.591,0.28,141.916,0.348,-5.494,0,0.0283
Halsey,Manic,Without Me,2-28-2023 4:50:00,2-28-2023,4:50:00,0.297,0.752,0.488,136.041,0.533,-7.05,9.11E-06,0.0705
Steve Lacy,Dark Red,Dark Red,2-28-2023 4:46:00,2-28-2023,4:46:00,0.446,0.603,0.784,172.041,0.769,-4.023,8.32E-06,0.062
carolesdaughter,violent,violent,2-28-2023 4:43:00,2-28-2023,4:43:00,0.331,0.797,0.755,129.955,0.411,-5.393,2.26E-06,0.0293
Conan Gray,Superache,Family Line,2-28-2023 4:40:00,2-28-2023,4:40:00,0.619,0.326,0.397,153.713,0.276,-8.145,0,0.0461
The Dresden Dolls,Yes Virginia,My Alcoholic Friends,2-28-2023 4:37:00,2-28-2023,4:37:00,0.18,0.596,0.679,110.464,0.746,-3.881,0,0.0324
Lana Del Rey,Chemtrails Over the Country Club,Dark But Just a Game,2-28-2023 4:33:00,2-28-2023,4:33:00,0.842,0.397,0.262,80.434,0.124,-14.608,6.60E-06,0.0916
Melanie Martinez,K-12,High School Sweethearts,2-28-2023 4:28:00,2-28-2023,4:28:00,0.453,0.648,0.639,94.033,0.44,-6.415,0,0.123
